experiment,fold,macro_f1,normal_f1,side_I_f1,side_II_f1,n_features
XGB_top150,23,0.9097222222222222,0.9791666666666666,1.0,0.75,150
XGB_top150,24,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888,150
XGB_top150,25,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888,150
XGB_depth3,1,0.5347222222222222,0.9375,0.0,0.6666666666666666,847
XGB_depth3,2,0.6875,0.9791666666666666,0.3333333333333333,0.75,847
XGB_depth3,3,0.9661127403062887,0.989247311827957,1.0,0.9090909090909091,847
XGB_depth3,4,0.6563573883161512,0.9690721649484536,0.0,1.0,847
XGB_depth3,5,0.7558707643814028,0.9787234042553191,0.4,0.8888888888888888,847
XGB_depth3,6,0.6435374149659864,0.9591836734693877,0.4,0.5714285714285714,847
XGB_depth3,7,0.8817966903073285,0.9787234042553191,0.6666666666666666,1.0,847
XGB_depth3,8,0.6747044917257683,0.9574468085106383,0.4,0.6666666666666666,847
XGB_depth3,9,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888,847
XGB_depth3,10,0.7552042160737814,0.9565217391304348,0.4,0.9090909090909091,847
XGB_depth3,11,0.6178187403993856,0.967741935483871,0.2857142857142857,0.6,847
XGB_depth3,12,0.8263888888888888,0.9791666666666666,0.5,1.0,847
XGB_depth3,13,0.6328548644338118,0.9894736842105263,0.0,0.9090909090909091,847
XGB_depth3,14,0.9298245614035089,0.9894736842105263,0.8,1.0,847
XGB_depth3,15,0.7361111111111112,0.9583333333333334,0.5,0.75,847
XGB_depth3,16,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888,847
XGB_depth3,17,0.8483430799220272,0.9894736842105263,0.6666666666666666,0.8888888888888888,847
XGB_depth3,18,0.7018445322793149,0.9782608695652174,0.4,0.7272727272727273,847
XGB_depth3,19,0.7116959064327485,0.968421052631579,0.5,0.6666666666666666,847
XGB_depth3,20,0.7892473118279569,0.967741935483871,0.4,1.0,847
XGB_depth3,21,0.5540621266427718,0.967741935483871,0.25,0.4444444444444444,847
XGB_depth3,22,0.7555125725338492,0.9574468085106383,0.4,0.9090909090909091,847
XGB_depth3,23,0.9097222222222222,0.9791666666666666,1.0,0.75,847
XGB_depth3,24,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888,847
XGB_depth3,25,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888,847
XGB_lr005,1,0.5347222222222222,0.9375,0.0,0.6666666666666666,847
XGB_lr005,2,0.7703007518796993,0.9894736842105263,0.5714285714285714,0.75,847
XGB_lr005,3,0.9661127403062887,0.989247311827957,1.0,0.9090909090909091,847
XGB_lr005,4,0.6563573883161512,0.9690721649484536,0.0,1.0,847
XGB_lr005,5,0.7558707643814028,0.9787234042553191,0.4,0.8888888888888888,847
XGB_lr005,6,0.506974506974507,0.9494949494949495,0.0,0.5714285714285714,847
XGB_lr005,7,0.8817966903073285,0.9787234042553191,0.6666666666666666,1.0,847
XGB_lr005,8,0.6747044917257683,0.9574468085106383,0.4,0.6666666666666666,847
XGB_lr005,9,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888,847
XGB_lr005,10,0.7552042160737814,0.9565217391304348,0.4,0.9090909090909091,847
XGB_lr005,11,0.6178187403993856,0.967741935483871,0.2857142857142857,0.6,847
XGB_lr005,12,0.8263888888888888,0.9791666666666666,0.5,1.0,847
XGB_lr005,13,0.5930555555555556,0.9791666666666666,0.0,0.8,847
XGB_lr005,14,0.9298245614035089,0.9894736842105263,0.8,1.0,847
XGB_lr005,15,0.7361111111111112,0.9583333333333334,0.5,0.75,847
XGB_lr005,16,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888,847
XGB_lr005,17,0.8893518518518518,0.9791666666666666,0.8,0.8888888888888888,847
XGB_lr005,18,0.7018445322793149,0.9782608695652174,0.4,0.7272727272727273,847
XGB_lr005,19,0.7430555555555555,0.9791666666666666,0.5,0.75,847
XGB_lr005,20,0.7487785657998424,0.9574468085106383,0.4,0.8888888888888888,847
XGB_lr005,21,0.5355072463768117,0.9565217391304348,0.25,0.4,847
XGB_lr005,22,0.8478331704138156,0.967741935483871,0.6666666666666666,0.9090909090909091,847
XGB_lr005,23,0.9097222222222222,0.9791666666666666,1.0,0.75,847
XGB_lr005,24,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888,847
XGB_lr005,25,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888,847
XGB_child3,1,0.5347222222222222,0.9375,0.0,0.6666666666666666,847
XGB_child3,2,0.7703007518796993,0.9894736842105263,0.5714285714285714,0.75,847
XGB_child3,3,0.9661127403062887,0.989247311827957,1.0,0.9090909090909091,847
XGB_child3,4,0.6563573883161512,0.9690721649484536,0.0,1.0,847
XGB_child3,5,0.706140350877193,0.968421052631579,0.4,0.75,847
XGB_child3,6,0.6435374149659864,0.9591836734693877,0.4,0.5714285714285714,847
XGB_child3,7,0.8817966903073285,0.9787234042553191,0.6666666666666666,1.0,847
XGB_child3,8,0.6747044917257683,0.9574468085106383,0.4,0.6666666666666666,847
XGB_child3,9,0.7558707643814028,0.9787234042553191,0.4,0.8888888888888888,847
XGB_child3,10,0.7892473118279569,0.967741935483871,0.4,1.0,847
XGB_child3,11,0.7114695340501792,0.967741935483871,0.5,0.6666666666666666,847
XGB_child3,12,0.8263888888888888,0.9791666666666666,0.5,1.0,847
XGB_child3,13,0.5930555555555556,0.9791666666666666,0.0,0.8,847
XGB_child3,14,0.9298245614035089,0.9894736842105263,0.8,1.0,847
XGB_child3,15,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888,847
XGB_child3,16,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888,847
XGB_child3,17,0.8483430799220272,0.9894736842105263,0.6666666666666666,0.8888888888888888,847
XGB_child3,18,0.8149758454106281,0.9782608695652174,0.6666666666666666,0.8,847
XGB_child3,19,0.7430555555555555,0.9791666666666666,0.5,0.75,847
XGB_child3,20,0.8816425120772946,0.9782608695652174,0.6666666666666666,1.0,847
XGB_child3,21,0.5540621266427718,0.967741935483871,0.25,0.4444444444444444,847
XGB_child3,22,0.8478331704138156,0.967741935483871,0.6666666666666666,0.9090909090909091,847
XGB_child3,23,0.9594541910331383,0.9894736842105263,1.0,0.8888888888888888,847
XGB_child3,24,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888,847
XGB_child3,25,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888,847
