feature,importance
shock_kurtosis_mean_I_div_II,0.0015513019067835664
shock_sideI_power_4000_4500_mean,0.0015506370478735783
shock_sideI_power_3500_4000_std,0.001546205222509093
shock_sideI_power_2500_3000_mean,0.0015338555957968968
vib_sideII_dominant_frequency_std,0.001533079775864673
shock_sideI_max_abs_max,0.0015233200590233295
vib_sideI_power_2000_2500_max,0.0015191814787420344
vib_sideI_power_1000_1500_mean,0.001514681048489144
shock_sideI_power_1000_1500_mean,0.0015098425849061055
vib_sideII_dominant_frequency_max,0.0015012738339112526
vib_sideII_power_4000_4500_mean,0.0014798889979192034
shock_sideI_power_4500_5000_std,0.001478545695413388
shock_sideI_power_2000_2500_mean,0.001475402986793673
shock_sideI_total_power_std,0.001462938103266982
shock_sideII_crest_factor_std,0.0014477225239210958
shock_sideI_kurtosis_mean,0.0014455629410375774
shock_sideI_power_4500_5000_mean,0.001377811828388751
shock_sideII_kurtosis_max,0.0013335541315789888
vib_sideII_dominant_frequency_mean,0.001300581557305063
shock_sideII_total_power_max,0.0012955430065290333
shock_sideI_peak_to_peak_mean,0.0012940527086819753
shock_sideII_std_std,0.0012901180400402578
shock_sideII_power_0_250_std,0.001266661923780533
shock_sideI_power_4000_4500_std,0.0012519191848160479
shock_sideII_max_abs_std,0.0012486242662157426
shock_sideII_power_3500_4000_mean,0.0012467155332659503
shock_sideII_kurtosis_std,0.0012450545383266276
shock_sideII_crest_factor_max,0.0012394975358670486
shock_sideI_power_4500_5000_max,0.0012340368966143648
shock_sideII_power_2000_2500_std,0.0012300566636775669
shock_sideII_peak_to_peak_max,0.001229807005597043
shock_sideI_power_3500_4000_mean,0.0012082209732042777
shock_sideI_kurtosis_std,0.0011913098077483996
shock_sideI_power_1500_2000_mean,0.0011887510531861326
shock_sideI_total_power_max,0.0011810252219423114
shock_sideI_power_4000_4500_max,0.0011552860745313775
shock_sideII_total_power_std,0.0011411941554859515
vib_sideI_power_2000_2500_std,0.0011282394687355155
shock_sideII_power_500_750_mean,0.0011251166982534577
shock_sideII_power_2000_2500_max,0.00111321576378997
shock_sideI_std_mean,0.0011051790822055032
shock_sideI_power_0_250_std,0.0010998816244876264
shock_sideI_crest_factor_max,0.0010979809732031814
shock_sideI_std_max,0.0010840023816612594
vib_sideI_dominant_frequency_max,0.0010709143255750275
shock_sideI_power_0_250_mean,0.0010458907577956386
shock_kurtosis_mean_I_minus_II,0.0010264118209704104
shock_sideII_std_mean,0.000995761557769356
shock_sideI_power_3500_4000_max,0.0009697957812048644
shock_sideII_peak_to_peak_std,0.0009614321121131128
shock_sideI_power_250_500_mean,0.0009586905087070543
shock_sideII_total_power_mean,0.0009347493190185823
shock_sideI_power_250_500_std,0.0009322801583140669
shock_sideI_power_500_750_mean,0.0009089282108528401
shock_sideI_rms_mean,0.0008765882444888429
shock_sideI_dominant_frequency_std,0.000852099836384862
shock_sideI_dominant_frequency_mean,0.0008423520432693705
shock_sideI_total_power_mean,0.0008185341627754791
shock_sideI_std_std,0.0007820254627126703
shock_sideI_power_250_500_max,0.0007738392010463647
shock_sideII_max_abs_mean,0.0007557643016850244
shock_sideII_dominant_frequency_std,0.0007536283680779161
shock_sideI_crest_factor_mean,0.0007463103910295175
shock_sideI_power_0_250_max,0.0007425164689497458
shock_sideII_peak_to_peak_mean,0.0007285747661752739
shock_sideII_dominant_frequency_max,0.0006949909162186313
shock_sideI_dominant_frequency_max,0.0006869789041138243
shock_sideII_power_250_500_mean,0.0006723121019686189
shock_sideI_crest_factor_std,0.0006148734240884246
shock_sideII_rms_mean,0.000570595511789503
shock_sideI_rms_std,0.0005411737460462504
shock_sideII_dominant_frequency_mean,0.0005368888312011893
