experiment,filename,true_label,times_tested,times_correct,accuracy
Exp1_XGB_baseline,Train242.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train243.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train244.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train245.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train246.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train247.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train248.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train249.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train25.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train250.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train251.csv,Normal,3,0,0.0
Exp1_XGB_baseline,Train252.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train253.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train254.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train255.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train256.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train257.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train258.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train259.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train26.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train260.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train261.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train262.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train263.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train264.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train265.csv,Side II,3,0,0.0
Exp1_XGB_baseline,Train266.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train267.csv,Side II,3,3,1.0
Exp1_XGB_baseline,Train268.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train269.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train27.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train270.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train271.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train272.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train28.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train29.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train3.csv,Normal,3,3,1.0
Exp1_XGB_baseline,Train30.csv,Side II,3,1,0.3333333333333333
