experiment,fold,macro_f1,normal_f1,side_I_f1,side_II_f1
Exp4_XGB_bilateral_augmented,13,0.8853801169590643,0.9894736842105263,0.6666666666666666,1.0
Exp4_XGB_bilateral_augmented,14,0.8559139784946237,0.967741935483871,0.8,0.8
Exp4_XGB_bilateral_augmented,15,0.8892040977147361,0.9787234042553191,0.8,0.8888888888888888
Exp5_XGB_bilateral_regularized,1,0.723196881091618,0.9473684210526315,0.3333333333333333,0.8888888888888888
Exp5_XGB_bilateral_regularized,2,0.7363945578231292,0.9591836734693877,0.5,0.75
Exp5_XGB_bilateral_regularized,3,0.8415954415954415,0.9555555555555556,0.8,0.7692307692307693
Exp5_XGB_bilateral_regularized,4,0.8892040977147361,0.9787234042553191,0.8,0.8888888888888888
Exp5_XGB_bilateral_regularized,5,0.8540644540644541,0.9777777777777777,0.8571428571428571,0.7272727272727273
Exp5_XGB_bilateral_regularized,6,0.7859870179457809,0.9690721649484536,0.5,0.8888888888888888
Exp5_XGB_bilateral_regularized,7,0.7797235023041474,0.967741935483871,0.5714285714285714,0.8
Exp5_XGB_bilateral_regularized,8,0.762962962962963,0.9555555555555556,0.6666666666666666,0.6666666666666666
Exp5_XGB_bilateral_regularized,9,0.8817966903073285,0.9787234042553191,0.6666666666666666,1.0
Exp5_XGB_bilateral_regularized,10,0.8475968475968476,0.967032967032967,0.6666666666666666,0.9090909090909091
Exp5_XGB_bilateral_regularized,11,0.7831649831649831,0.9555555555555556,0.6666666666666666,0.7272727272727273
Exp5_XGB_bilateral_regularized,12,0.8483430799220272,0.9894736842105263,0.6666666666666666,0.8888888888888888
Exp5_XGB_bilateral_regularized,13,0.8853801169590643,0.9894736842105263,0.6666666666666666,1.0
Exp5_XGB_bilateral_regularized,14,0.8559139784946237,0.967741935483871,0.8,0.8
Exp5_XGB_bilateral_regularized,15,0.8892040977147361,0.9787234042553191,0.8,0.8888888888888888
Exp6_Ensemble_XGB_ExtraTrees,1,0.723196881091618,0.9473684210526315,0.3333333333333333,0.8888888888888888
Exp6_Ensemble_XGB_ExtraTrees,2,0.8396907216494846,0.9690721649484536,0.8,0.75
Exp6_Ensemble_XGB_ExtraTrees,3,0.8667887667887668,0.967032967032967,0.8,0.8333333333333334
Exp6_Ensemble_XGB_ExtraTrees,4,0.8892040977147361,0.9787234042553191,0.8,0.8888888888888888
