feature,importance
vib_car5_sideII_power_750_1000_max,0.0010910899
vib_car8_power_500_750_mean_I_minus_II,0.0010876815
vib_car8_sideI_power_250_500_mean,0.0010820129
vib_car8_sideII_spectral_centroid_mean,0.0010641371
vib_sideII_relative_power_500_750_max,0.0010573273
vib_sideII_spectral_centroid_max,0.0010549733
vib_car5_sideII_power_250_500_max,0.0010447294
vib_inv_total_power_mean_car_diff_max,0.0010388788
vib_car8_sideII_std_max,0.0010308458
shock_sideII_power_2500_3000_max,0.0010297059
vib_sideI_power_per_speed_sq,0.0010170998
vib_sideI_spectral_centroid_max,0.0010170471
vib_std_mean_I_div_II,0.0010017733
shock_sideI_crest_factor_max,0.000994352
shock_sideII_power_250_500_max,0.000986053
vib_inv_rms_mean_car_asym_min,0.0009808954
shock_sideI_power_1000_1500_std,0.0009773136
shock_relative_power_250_500_mean_I_minus_II,0.00097337936
vib_power_500_750_mean_asymmetry_index,0.00096816977
shock_std_max_I_minus_II,0.0009677509
vib_car7_power_250_500_mean_I_minus_II,0.00096392696
vib_car7_sideI_power_250_500_mean,0.0009624466
vib_car2_sideI_power_750_1000_mean,0.0009623517
vib_sideI_power_2500_3000_max,0.0009618793
vib_car6_power_750_1000_mean_I_minus_II,0.0009570326
vib_inv_power_250_500_max_car_diff_max,0.00095567125
shock_spectral_centroid_mean_asymmetry_index,0.0009498637
vib_car8_sideI_rms_mean,0.0009275263
vib_car3_sideI_total_power_max,0.0009076545
shock_sideI_power_4500_5000_mean,0.0009054269
vib_sideII_power_500_750_mean,0.0008993311
vib_relative_power_500_750_mean_I_minus_II,0.00089275144
vib_sideII_relative_power_1000_1500_max,0.00089241844
shock_sideI_relative_power_750_1000_max,0.00088733237
vib_sideI_power_2000_2500_std,0.0008806252
vib_car4_sideII_power_0_250_mean,0.00087405543
vib_car5_sideII_std_max,0.0008638627
vib_inv_std_max_top2_cars_ratio_mean,0.00085388916
vib_car5_power_0_250_mean_I_div_II,0.0008499326
vib_relative_power_0_250_mean_I_div_II,0.0008456476
vib_car3_power_750_1000_mean_I_minus_II,0.0008407704
shock_relative_power_500_750_mean_I_div_II,0.0008347179
vib_car4_power_500_750_mean_I_div_II,0.0008304421
shock_power_500_750_mean_I_minus_II,0.00082707225
vib_inv_std_max_car_diff_std,0.00082550547
shock_sideII_power_750_1000_max,0.00082286645
vib_sideI_rms_std,0.0008150815
vib_inv_rms_mean_car_asym_median,0.00081020955
vib_car1_total_power_mean_I_div_II,0.00080787955
vib_inv_power_250_500_max_car_diff_median,0.0008057909
vib_inv_std_max_car_asym_median,0.0008045214
vib_inv_rms_mean_car_diff_std,0.0008035723
vib_car1_sideI_power_250_500_mean,0.00079992233
vib_inv_power_250_500_mean_car_asym_min,0.00077993405
shock_sideI_power_2000_2500_max,0.0007789133
shock_sideII_std_max,0.0007729529
vib_inv_std_mean_top2_cars_ratio_mean,0.0007716677
vib_sideI_relative_power_0_250_max,0.00075749867
shock_sideI_power_2500_3000_std,0.0007498601
vib_car4_sideII_power_500_750_mean,0.00074875227
vib_car3_sideII_spectral_centroid_max,0.00074136566
vib_sideI_peak_to_peak_max,0.0007397515
vib_car5_sideI_power_750_1000_mean,0.00073609146
vib_car1_power_250_500_mean_I_div_II,0.0007322237
shock_sideI_relative_power_4000_4500_max,0.0007313323
vib_car1_sideII_power_0_250_max,0.000728108
vib_sideII_kurtosis_max,0.0007117531
shock_sideI_relative_power_1500_2000_max,0.00071065704
vib_inv_spectral_centroid_mean_car_asym_min,0.00070184225
vib_sideII_relative_power_2000_2500_std,0.0006930751
vib_car7_sideI_power_250_500_max,0.0006845731
vib_car2_sideII_spectral_centroid_max,0.00068407843
shock_sideI_power_4500_5000_max,0.0006838422
vib_car8_sideII_power_500_750_max,0.0006796113
vib_inv_std_max_car_asym_min,0.0006792631
vib_car7_sideII_std_max,0.00067894027
vib_car7_sideII_power_0_250_max,0.0006768496
vib_car3_rms_mean_I_div_II,0.000660182
vib_car5_sideI_spectral_centroid_mean,0.0006477706
vib_inv_std_mean_car_asym_min,0.00064345816
vib_car8_power_750_1000_mean_I_div_II,0.00063801283
vib_sideII_power_3000_3500_std,0.0006356134
vib_sideII_relative_power_750_1000_max,0.00062855805
vib_sideII_relative_power_250_500_max,0.0006285078
vib_car1_sideI_power_250_500_max,0.00062757416
vib_car1_power_750_1000_mean_I_div_II,0.000623035
vib_sideII_relative_power_750_1000_mean,0.00062106585
vib_car4_power_0_250_mean_I_div_II,0.000620298
vib_sideI_kurtosis_std,0.0006162062
shock_sideII_relative_power_0_250_std,0.000615954
vib_sideII_relative_power_3000_3500_mean,0.00061363657
shock_sideI_kurtosis_max,0.00061232754
vib_car7_sideI_power_500_750_mean,0.0006096233
shock_sideI_power_1500_2000_mean,0.00060887827
vib_car7_power_750_1000_mean_I_div_II,0.0006081562
vib_sideII_power_250_500_std,0.0006056786
vib_inv_power_250_500_mean_car_diff_std,0.00060257217
vib_car7_total_power_mean_I_div_II,0.0005994585
vib_sideI_power_4000_4500_max,0.0005977853
shock_sideI_power_250_500_mean,0.00059441396
vib_inv_spectral_centroid_mean_top2_cars_ratio_mean,0.0005873581
shock_sideI_power_2500_3000_max,0.00058610435
vib_car1_sideI_power_0_250_mean,0.00057576614
vib_car6_power_250_500_mean_I_div_II,0.00057446136
vib_car5_power_500_750_mean_I_div_II,0.0005687617
vib_sideI_rms_mean,0.0005678348
vib_car8_sideI_spectral_centroid_mean,0.00056021055
vib_car3_sideI_power_750_1000_max,0.0005584067
shock_sideII_power_3500_4000_max,0.0005577271
shock_sideII_relative_power_500_750_std,0.0005478116
vib_car1_sideI_std_mean,0.000546661
shock_sideII_power_0_250_std,0.00054450094
shock_sideII_power_1000_1500_max,0.00054398866
vib_car3_sideII_power_500_750_max,0.0005423476
estimated_speed_mps,0.0005397506
vib_car1_power_250_500_mean_I_minus_II,0.00052205496
shock_sideI_peak_to_peak_max,0.00050756865
shock_sideII_std_mean,0.0005057182
vib_car8_rms_mean_I_div_II,0.0005025909
shock_sideI_rms_per_speed,0.000498777
shock_sideI_rms_mean,0.00048732274
vib_car4_sideI_power_750_1000_max,0.0004862677
vib_sideI_relative_power_3500_4000_mean,0.00048482782
vib_inv_spectral_centroid_mean_car_asym_max,0.00048452875
vib_sideI_kurtosis_max,0.00048166225
vib_car7_sideII_spectral_centroid_mean,0.0004808221
