experiment,fold,macro_f1,normal_f1,side_I_f1,side_II_f1
ExtraTrees_sideI_weighted,23,0.6498316498316498,0.9494949494949495,0.6666666666666666,0.3333333333333333
ExtraTrees_sideI_weighted,24,0.6563573883161512,0.9690721649484536,0.0,1.0
ExtraTrees_sideI_weighted,25,0.6157407407407408,0.9583333333333334,0.0,0.8888888888888888
ExtraTrees_top100,1,0.6736411736411737,0.9494949494949495,0.5,0.5714285714285714
ExtraTrees_top100,2,0.7063573883161512,0.9690721649484536,0.4,0.75
ExtraTrees_top100,3,0.8514936600042983,0.9787234042553191,0.6666666666666666,0.9090909090909091
ExtraTrees_top100,4,0.7754050073637703,0.9690721649484536,0.5,0.8571428571428571
ExtraTrees_top100,5,0.6157407407407408,0.9583333333333334,0.0,0.8888888888888888
ExtraTrees_top100,6,0.6435374149659864,0.9591836734693877,0.4,0.5714285714285714
ExtraTrees_top100,7,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888
ExtraTrees_top100,8,0.6747044917257683,0.9574468085106383,0.4,0.6666666666666666
ExtraTrees_top100,9,0.8787698412698414,0.9791666666666666,0.8,0.8571428571428571
ExtraTrees_top100,10,0.826241134751773,0.9787234042553191,0.5,1.0
ExtraTrees_top100,11,0.6561403508771929,0.968421052631579,0.3333333333333333,0.6666666666666666
ExtraTrees_top100,12,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888
ExtraTrees_top100,13,0.6111111111111112,1.0,0.0,0.8333333333333334
ExtraTrees_top100,14,0.9298245614035089,0.9894736842105263,0.8,1.0
ExtraTrees_top100,15,0.7361111111111112,0.9583333333333334,0.5,0.75
ExtraTrees_top100,16,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888
ExtraTrees_top100,17,0.7859870179457809,0.9690721649484536,0.5,0.8888888888888888
ExtraTrees_top100,18,0.7388400130335615,0.989247311827957,0.5,0.7272727272727273
ExtraTrees_top100,19,0.8787698412698414,0.9791666666666666,0.8,0.8571428571428571
ExtraTrees_top100,20,0.7857699805068226,0.968421052631579,0.5,0.8888888888888888
ExtraTrees_top100,21,0.6051587301587301,0.9583333333333334,0.2857142857142857,0.5714285714285714
ExtraTrees_top100,22,0.8123470732166385,0.9565217391304348,0.5714285714285714,0.9090909090909091
ExtraTrees_top100,23,0.7324263038548752,0.9591836734693877,0.6666666666666666,0.5714285714285714
ExtraTrees_top100,24,0.6226851851851851,0.9791666666666666,0.0,0.8888888888888888
ExtraTrees_top100,25,0.6157407407407408,0.9583333333333334,0.0,0.8888888888888888
ExtraTrees_top50,1,0.4795918367346939,0.9387755102040817,0.0,0.5
ExtraTrees_top50,2,0.7363945578231292,0.9591836734693877,0.5,0.75
ExtraTrees_top50,3,0.6258373205741626,0.968421052631579,0.0,0.9090909090909091
ExtraTrees_top50,4,0.8263888888888888,0.9791666666666666,0.5,1.0
ExtraTrees_top50,5,0.6191033138401559,0.968421052631579,0.0,0.8888888888888888
ExtraTrees_top50,6,0.6177385043364424,0.9484536082474226,0.3333333333333333,0.5714285714285714
ExtraTrees_top50,7,0.6193203512791142,0.9690721649484536,0.0,0.8888888888888888
ExtraTrees_top50,8,0.6747044917257683,0.9574468085106383,0.4,0.6666666666666666
ExtraTrees_top50,9,0.7927875243664717,0.9894736842105263,0.5,0.8888888888888888
ExtraTrees_top50,10,0.7892473118279569,0.967741935483871,0.4,1.0
ExtraTrees_top50,11,0.6373522458628842,0.9787234042553191,0.3333333333333333,0.6
ExtraTrees_top50,12,0.7560185185185185,0.9791666666666666,0.4,0.8888888888888888
ExtraTrees_top50,13,0.6328548644338118,0.9894736842105263,0.0,0.9090909090909091
ExtraTrees_top50,14,0.8817966903073285,0.9787234042553191,0.6666666666666666,1.0
ExtraTrees_top50,15,0.7361111111111112,0.9583333333333334,0.5,0.75
